Okay	Pred	True	LogProbSpam	LogProbHam	DocName
True	ham	ham	-2345.19548232	-1693.12135151	../dat/enron/enron6/ham/0101.2000-06-20.lokay.ham.txt
True	ham	ham	-533.495520479	-296.190077816	../dat/enron/enron6/ham/1678.2000-11-02.lokay.ham.txt
True	ham	ham	-1030.8864999	-624.001207187	../dat/enron/enron6/ham/3966.2001-07-17.lokay.ham.txt
True	ham	ham	-617.471025144	-310.210057323	../dat/enron/enron6/ham/3105.2001-02-16.lokay.ham.txt
True	ham	ham	-1504.70830904	-1303.75965375	../dat/enron/enron6/ham/5021.2001-11-21.lokay.ham.txt
True	ham	ham	-1192.00659939	-748.392415467	../dat/enron/enron6/ham/0931.2000-09-01.lokay.ham.txt
True	ham	ham	-388.132639913	-352.95575092	../dat/enron/enron6/ham/2592.2001-01-18.lokay.ham.txt
True	ham	ham	-1460.64707644	-911.082781893	../dat/enron/enron6/ham/0673.2000-08-08.lokay.ham.txt
True	ham	ham	-128.850602292	-84.7504580252	../dat/enron/enron6/ham/0015.2000-06-09.lokay.ham.txt
True	ham	ham	-1314.85438377	-1137.42335967	../dat/enron/enron6/ham/0970.2000-09-05.lokay.ham.txt
True	ham	ham	-1715.94606525	-1364.45054216	../dat/enron/enron6/ham/1841.2000-11-10.lokay.ham.txt
True	ham	ham	-2922.71574729	-2327.87374196	../dat/enron/enron6/ham/5946.2002-03-21.lokay.ham.txt
True	ham	ham	-4335.7652284	-3360.67830943	../dat/enron/enron6/ham/2781.2001-01-26.lokay.ham.txt
True	ham	ham	-211.473374682	-153.170211337	../dat/enron/enron6/ham/5164.2001-12-17.lokay.ham.txt
True	ham	ham	-3133.36747489	-2414.79624226	../dat/enron/enron6/ham/0698.2000-08-10.lokay.ham.txt
True	ham	ham	-2134.69777429	-1268.62703888	../dat/enron/enron6/ham/3124.2001-02-21.lokay.ham.txt
True	ham	ham	-641.779098077	-383.859948042	../dat/enron/enron6/ham/4118.2001-08-02.lokay.ham.txt
False	spam	ham	-89.6919488309	-153.923707309	../dat/enron/enron6/ham/2948.2001-02-02.lokay.ham.txt
True	ham	ham	-3479.27425379	-1858.97814761	../dat/enron/enron6/ham/1842.2000-11-12.lokay.ham.txt
False	spam	ham	-274.33566216	-289.471977625	../dat/enron/enron6/ham/2400.2001-01-05.lokay.ham.txt
True	ham	ham	-463.772176057	-231.758132753	../dat/enron/enron6/ham/3463.2001-04-20.lokay.ham.txt
True	ham	ham	-1912.80361935	-1433.37864046	../dat/enron/enron6/ham/4392.2001-08-29.lokay.ham.txt
True	ham	ham	-1403.16995622	-1168.16414249	../dat/enron/enron6/ham/4947.2001-11-07.lokay.ham.txt
True	ham	ham	-437.053992909	-306.377388857	../dat/enron/enron6/ham/1605.2000-10-30.lokay.ham.txt
True	ham	ham	-1269.10977122	-885.667430259	../dat/enron/enron6/ham/0350.2000-07-12.lokay.ham.txt
True	ham	ham	-1444.36727781	-1116.27547202	../dat/enron/enron6/ham/5248.2002-01-08.lokay.ham.txt
True	ham	ham	-226.068658759	-197.386298092	../dat/enron/enron6/ham/0182.2000-06-28.lokay.ham.txt
True	ham	ham	-1282.8912157	-824.624593669	../dat/enron/enron6/ham/1369.2000-10-09.lokay.ham.txt
True	ham	ham	-1971.47470707	-1394.52936998	../dat/enron/enron6/ham/1818.2000-11-10.lokay.ham.txt
True	ham	ham	-1090.33926344	-867.742031619	../dat/enron/enron6/ham/4752.2001-10-16.lokay.ham.txt
True	ham	ham	-1287.63896951	-1047.70086943	../dat/enron/enron6/ham/0136.2000-06-22.lokay.ham.txt
True	ham	ham	-639.700757092	-470.339107956	../dat/enron/enron6/ham/3164.2001-02-23.lokay.ham.txt
True	ham	ham	-2728.68306486	-1346.67802029	../dat/enron/enron6/ham/1240.2000-10-02.lokay.ham.txt
True	ham	ham	-518.884926801	-376.508194495	../dat/enron/enron6/ham/1359.2000-10-09.lokay.ham.txt
True	ham	ham	-114.442092567	-110.207331523	../dat/enron/enron6/ham/4444.2001-09-06.lokay.ham.txt
True	ham	ham	-1079.75694223	-905.69676655	../dat/enron/enron6/ham/4102.2001-08-02.lokay.ham.txt
True	ham	ham	-2227.09130594	-1736.951634	../dat/enron/enron6/ham/0818.2000-08-22.lokay.ham.txt
True	ham	ham	-513.802746559	-485.365941884	../dat/enron/enron6/ham/0088.2000-06-19.lokay.ham.txt
True	ham	ham	-2061.51282276	-1824.91445315	../dat/enron/enron6/ham/2667.2001-01-21.lokay.ham.txt
True	ham	ham	-1361.72599839	-1011.7487506	../dat/enron/enron6/ham/2671.2001-01-22.lokay.ham.txt
True	ham	ham	-584.892655024	-367.002721732	../dat/enron/enron6/ham/4704.2001-10-08.lokay.ham.txt
True	ham	ham	-3772.71368624	-2156.1453934	../dat/enron/enron6/ham/0009.2000-06-07.lokay.ham.txt
True	ham	ham	-344.553968123	-300.627198094	../dat/enron/enron6/ham/0219.2000-06-30.lokay.ham.txt
False	spam	ham	-2619.06493374	-2669.8577244	../dat/enron/enron6/ham/1494.2000-10-20.lokay.ham.txt
True	ham	ham	-81.9673898882	-69.4142952372	../dat/enron/enron6/ham/1255.2000-10-02.lokay.ham.txt
True	ham	ham	-1698.79520301	-1210.5426603	../dat/enron/enron6/ham/4878.2001-10-28.lokay.ham.txt
True	ham	ham	-492.500474898	-423.951029343	../dat/enron/enron6/ham/2468.2001-01-11.lokay.ham.txt
True	ham	ham	-1502.66870106	-1302.43883012	../dat/enron/enron6/ham/0649.2000-08-04.lokay.ham.txt
True	ham	ham	-2110.93721674	-1148.73390219	../dat/enron/enron6/ham/0500.2000-07-21.lokay.ham.txt
True	ham	ham	-770.11820689	-542.490037803	../dat/enron/enron6/ham/0050.2000-06-14.lokay.ham.txt
True	ham	ham	-5527.87472357	-3604.44915136	../dat/enron/enron6/ham/4343.2001-08-27.lokay.ham.txt
True	ham	ham	-3411.40006236	-2563.61659139	../dat/enron/enron6/ham/3227.2001-03-12.lokay.ham.txt
True	ham	ham	-162.224981213	-70.3211528857	../dat/enron/enron6/ham/1008.2000-09-08.lokay.ham.txt
True	ham	ham	-736.349709216	-721.483263531	../dat/enron/enron6/ham/0423.2000-07-18.lokay.ham.txt
True	ham	ham	-270.870270246	-235.080019702	../dat/enron/enron6/ham/0574.2000-07-31.lokay.ham.txt
False	spam	ham	-610.33887202	-664.881234497	../dat/enron/enron6/ham/2657.2001-01-21.lokay.ham.txt
True	ham	ham	-3304.20327603	-2316.61293935	../dat/enron/enron6/ham/5124.2001-12-13.lokay.ham.txt
True	ham	ham	-5184.55017497	-3815.13535972	../dat/enron/enron6/ham/5342.2002-01-16.lokay.ham.txt
True	ham	ham	-3392.44685606	-2732.59028806	../dat/enron/enron6/ham/4605.2001-09-28.lokay.ham.txt
True	ham	ham	-885.509971637	-769.540514994	../dat/enron/enron6/ham/3045.2001-02-09.lokay.ham.txt
True	ham	ham	-203.165863148	-113.434388579	../dat/enron/enron6/ham/0585.2000-07-31.lokay.ham.txt
True	ham	ham	-349.771937258	-282.056372522	../dat/enron/enron6/ham/3155.2001-02-23.lokay.ham.txt
False	spam	ham	-845.012666167	-921.106530111	../dat/enron/enron6/ham/5043.2001-11-27.lokay.ham.txt
True	ham	ham	-6032.25538767	-1863.29125918	../dat/enron/enron6/ham/0414.2000-07-17.lokay.ham.txt
True	ham	ham	-1846.67709892	-1840.17704577	../dat/enron/enron6/ham/2341.2000-12-29.lokay.ham.txt
True	ham	ham	-558.666484269	-510.979359447	../dat/enron/enron6/ham/0435.2000-07-20.lokay.ham.txt
True	ham	ham	-2880.89093627	-2030.3608764	../dat/enron/enron6/ham/1863.2000-11-13.lokay.ham.txt
True	ham	ham	-2724.71834421	-2694.52835675	../dat/enron/enron6/ham/0965.2000-09-05.lokay.ham.txt
True	ham	ham	-974.360812865	-743.71104611	../dat/enron/enron6/ham/2047.2000-11-28.lokay.ham.txt
True	ham	ham	-4363.76622389	-3115.27939228	../dat/enron/enron6/ham/1059.2000-09-15.lokay.ham.txt
True	ham	ham	-2461.875973	-1883.16955155	../dat/enron/enron6/ham/5992.2002-03-25.lokay.ham.txt
True	ham	ham	-969.040731817	-480.163315026	../dat/enron/enron6/ham/0302.2000-07-10.lokay.ham.txt
True	ham	ham	-535.764976373	-425.736009555	../dat/enron/enron6/ham/1710.2000-11-03.lokay.ham.txt
True	ham	ham	-585.457863051	-396.214161903	../dat/enron/enron6/ham/1896.2000-11-15.lokay.ham.txt
True	ham	ham	-13437.0382187	-7356.96605632	../dat/enron/enron6/ham/2389.2001-01-04.lokay.ham.txt
True	ham	ham	-901.323069949	-643.194849003	../dat/enron/enron6/ham/1620.2000-10-31.lokay.ham.txt
True	ham	ham	-6482.91281831	-5106.2245215	../dat/enron/enron6/ham/0405.2000-07-17.lokay.ham.txt
True	ham	ham	-983.797426576	-868.00054372	../dat/enron/enron6/ham/5988.2002-03-25.lokay.ham.txt
True	ham	ham	-951.042738633	-805.03025364	../dat/enron/enron6/ham/3738.2001-06-12.lokay.ham.txt
True	ham	ham	-1280.10746338	-1111.88056278	../dat/enron/enron6/ham/2125.2000-12-04.lokay.ham.txt
True	ham	ham	-458.42182387	-329.086115271	../dat/enron/enron6/ham/1795.2000-11-09.lokay.ham.txt
True	ham	ham	-5392.8616336	-3391.80200271	../dat/enron/enron6/ham/1270.2000-10-05.lokay.ham.txt
True	ham	ham	-1273.24078238	-1093.49321272	../dat/enron/enron6/ham/5328.2002-01-15.lokay.ham.txt
True	ham	ham	-1227.82007678	-1013.65074101	../dat/enron/enron6/ham/3092.2001-02-16.lokay.ham.txt
True	ham	ham	-728.799162031	-422.360153547	../dat/enron/enron6/ham/5938.2002-03-19.lokay.ham.txt
True	ham	ham	-147.73581026	-104.292554806	../dat/enron/enron6/ham/5214.2001-12-31.lokay.ham.txt
True	ham	ham	-1364.82382851	-1099.03241262	../dat/enron/enron6/ham/4213.2001-08-13.lokay.ham.txt
True	ham	ham	-6756.20340582	-6245.61959492	../dat/enron/enron6/ham/1430.2000-10-13.lokay.ham.txt
True	ham	ham	-2187.420215	-1799.90543363	../dat/enron/enron6/ham/4568.2001-09-25.lokay.ham.txt
True	ham	ham	-1557.35718973	-1208.64003598	../dat/enron/enron6/ham/1150.2000-09-22.lokay.ham.txt
True	ham	ham	-146.627720255	-67.2761393331	../dat/enron/enron6/ham/3144.2001-02-22.lokay.ham.txt
True	ham	ham	-115.839691985	-32.8984414114	../dat/enron/enron6/ham/4079.2001-07-31.lokay.ham.txt
True	ham	ham	-1795.02662543	-1220.29302516	../dat/enron/enron6/ham/2324.2000-12-28.lokay.ham.txt
True	ham	ham	-737.005379598	-642.371422136	../dat/enron/enron6/ham/4674.2001-10-05.lokay.ham.txt
False	spam	ham	-748.107518585	-840.321329466	../dat/enron/enron6/ham/4012.2001-07-19.lokay.ham.txt
True	ham	ham	-1526.239506	-1298.53904863	../dat/enron/enron6/ham/3719.2001-06-08.lokay.ham.txt
True	ham	ham	-1304.8284584	-1048.43078412	../dat/enron/enron6/ham/4068.2001-07-30.lokay.ham.txt
True	ham	ham	-701.048247844	-692.418677319	../dat/enron/enron6/ham/1630.2000-11-01.lokay.ham.txt
True	ham	ham	-1157.44155371	-975.33956555	../dat/enron/enron6/ham/4247.2001-08-14.lokay.ham.txt
True	ham	ham	-884.523398163	-659.867986786	../dat/enron/enron6/ham/4522.2001-09-20.lokay.ham.txt
True	ham	ham	-2738.43217694	-2080.44802583	../dat/enron/enron6/ham/2743.2001-01-26.lokay.ham.txt
True	ham	ham	-890.656657993	-527.875751684	../dat/enron/enron6/ham/4327.2001-08-26.lokay.ham.txt
True	ham	ham	-3784.16119462	-2514.973386	../dat/enron/enron6/ham/4989.2001-11-14.lokay.ham.txt
True	ham	ham	-3670.4664876	-2481.8386824	../dat/enron/enron6/ham/1208.2000-09-29.lokay.ham.txt
True	ham	ham	-189.145310957	-100.25835765	../dat/enron/enron6/ham/2677.2001-01-23.lokay.ham.txt
True	ham	ham	-3857.91527847	-2953.0662135	../dat/enron/enron6/ham/4062.2001-07-30.lokay.ham.txt
True	ham	ham	-673.796028475	-575.003903652	../dat/enron/enron6/ham/0230.2000-07-01.lokay.ham.txt
True	ham	ham	-2042.26541535	-1417.43267513	../dat/enron/enron6/ham/4434.2001-09-05.lokay.ham.txt
True	ham	ham	-369.698047881	-205.072681989	../dat/enron/enron6/ham/0579.2000-07-31.lokay.ham.txt
True	ham	ham	-1796.71589673	-1431.53798274	../dat/enron/enron6/ham/0916.2000-08-31.lokay.ham.txt
True	ham	ham	-2537.91477996	-1856.02562571	../dat/enron/enron6/ham/2262.2000-12-15.lokay.ham.txt
True	ham	ham	-1159.48189276	-852.542690519	../dat/enron/enron6/ham/5201.2001-12-28.lokay.ham.txt
True	ham	ham	-666.664193527	-415.333671035	../dat/enron/enron6/ham/0409.2000-07-17.lokay.ham.txt
True	ham	ham	-1315.80544561	-1225.65894344	../dat/enron/enron6/ham/5422.2002-01-27.lokay.ham.txt
True	ham	ham	-3355.11240118	-1754.26767642	../dat/enron/enron6/ham/1727.2000-11-07.lokay.ham.txt
True	ham	ham	-140.804275195	-83.3778228098	../dat/enron/enron6/ham/2538.2001-01-15.lokay.ham.txt
True	ham	ham	-1376.8502264	-1123.56612148	../dat/enron/enron6/ham/5436.2002-01-29.lokay.ham.txt
True	ham	ham	-185.215602955	-184.487174439	../dat/enron/enron6/ham/0025.2000-06-12.lokay.ham.txt
True	ham	ham	-1884.28424958	-1067.7145179	../dat/enron/enron6/ham/4652.2001-10-03.lokay.ham.txt
True	ham	ham	-753.28305372	-629.169626233	../dat/enron/enron6/ham/1036.2000-09-13.lokay.ham.txt
True	ham	ham	-678.461162987	-489.772211495	../dat/enron/enron6/ham/1126.2000-09-20.lokay.ham.txt
True	ham	ham	-495.957336757	-413.855611378	../dat/enron/enron6/ham/2546.2001-01-16.lokay.ham.txt
True	ham	ham	-271.669585509	-220.63455838	../dat/enron/enron6/ham/4346.2001-08-27.lokay.ham.txt
True	ham	ham	-979.673647318	-535.726463318	../dat/enron/enron6/ham/3183.2001-03-01.lokay.ham.txt
True	ham	ham	-2648.44064449	-2424.74385933	../dat/enron/enron6/ham/1650.2000-11-01.lokay.ham.txt
True	ham	ham	-500.975909167	-350.800332159	../dat/enron/enron6/ham/5196.2001-12-27.lokay.ham.txt
False	spam	ham	-704.250627442	-872.632572625	../dat/enron/enron6/ham/5236.2002-01-07.lokay.ham.txt
True	ham	ham	-5334.0270327	-3534.29105534	../dat/enron/enron6/ham/5347.2002-01-16.lokay.ham.txt
True	ham	ham	-156.335945037	-130.588773125	../dat/enron/enron6/ham/4350.2001-08-27.lokay.ham.txt
True	ham	ham	-1028.28391862	-638.33377048	../dat/enron/enron6/ham/1498.2000-10-21.lokay.ham.txt
True	ham	ham	-85.9499405472	-83.6118570809	../dat/enron/enron6/ham/1544.2000-10-25.lokay.ham.txt
True	ham	ham	-267.220058679	-127.065488069	../dat/enron/enron6/ham/5072.2001-12-03.lokay.ham.txt
True	ham	ham	-263.912940255	-203.042854341	../dat/enron/enron6/ham/2234.2000-12-13.lokay.ham.txt
True	ham	ham	-412.670049225	-388.639764897	../dat/enron/enron6/ham/1381.2000-10-11.lokay.ham.txt
True	ham	ham	-1169.08859698	-598.09168157	../dat/enron/enron6/ham/2765.2001-01-26.lokay.ham.txt
True	ham	ham	-2099.70114352	-1598.32149818	../dat/enron/enron6/ham/1644.2000-11-01.lokay.ham.txt
True	ham	ham	-3544.09093592	-2720.28295267	../dat/enron/enron6/ham/5829.2002-03-08.lokay.ham.txt
True	ham	ham	-3253.17041185	-1954.48642325	../dat/enron/enron6/ham/1068.2000-09-15.lokay.ham.txt
True	ham	ham	-404.90604116	-306.589120064	../dat/enron/enron6/ham/5036.2001-11-26.lokay.ham.txt
True	ham	ham	-4833.34008964	-2870.77734329	../dat/enron/enron6/ham/5524.2002-02-05.lokay.ham.txt
True	ham	ham	-51.3356849067	-11.303047471	../dat/enron/enron6/ham/5539.2002-02-07.lokay.ham.txt
True	ham	ham	-63.0144566516	-52.3212565914	../dat/enron/enron6/ham/0297.2000-07-07.lokay.ham.txt
True	ham	ham	-1407.90589537	-950.994556466	../dat/enron/enron6/ham/4110.2001-08-02.lokay.ham.txt
True	ham	ham	-1590.87343799	-1272.95324384	../dat/enron/enron6/ham/4912.2001-10-31.lokay.ham.txt
True	ham	ham	-166.522715093	-143.747982292	../dat/enron/enron6/ham/5222.2002-01-02.lokay.ham.txt
True	ham	ham	-1450.25111899	-943.806357742	../dat/enron/enron6/ham/1487.2000-10-20.lokay.ham.txt
True	ham	ham	-1195.1946854	-684.427311783	../dat/enron/enron6/ham/3134.2001-02-22.lokay.ham.txt
True	ham	ham	-471.237068594	-427.901170763	../dat/enron/enron6/ham/5583.2002-02-11.lokay.ham.txt
False	spam	ham	-613.644435578	-623.351084754	../dat/enron/enron6/ham/1510.2000-10-24.lokay.ham.txt
True	ham	ham	-490.799216521	-327.667781965	../dat/enron/enron6/ham/2332.2000-12-28.lokay.ham.txt
True	ham	ham	-675.605436813	-432.025688102	../dat/enron/enron6/ham/2446.2001-01-09.lokay.ham.txt
True	ham	ham	-561.444245477	-409.729307372	../dat/enron/enron6/ham/3670.2001-06-03.lokay.ham.txt
True	ham	ham	-155.981051308	-92.9816754104	../dat/enron/enron6/ham/3055.2001-02-13.lokay.ham.txt
True	ham	ham	-368.14928186	-173.289281747	../dat/enron/enron6/ham/2568.2001-01-18.lokay.ham.txt
True	ham	ham	-1147.30218272	-785.492119378	../dat/enron/enron6/ham/0556.2000-07-27.lokay.ham.txt
True	ham	ham	-4942.08017611	-3934.08183836	../dat/enron/enron6/ham/0505.2000-07-21.lokay.ham.txt
True	ham	ham	-799.295745153	-583.656075318	../dat/enron/enron6/ham/3554.2001-05-07.lokay.ham.txt
True	ham	ham	-3296.48319055	-2818.28824217	../dat/enron/enron6/ham/4465.2001-09-09.lokay.ham.txt
True	ham	ham	-1110.74229727	-737.442373646	../dat/enron/enron6/ham/0313.2000-07-11.lokay.ham.txt
True	ham	ham	-4065.61300979	-3255.60062412	../dat/enron/enron6/ham/0796.2000-08-21.lokay.ham.txt
True	ham	ham	-246.914429927	-212.007487332	../dat/enron/enron6/ham/4536.2001-09-20.lokay.ham.txt
False	spam	ham	-47.7964501167	-91.7515430647	../dat/enron/enron6/ham/4014.2001-07-19.lokay.ham.txt
True	ham	ham	-3290.76575256	-1994.52983316	../dat/enron/enron6/ham/4883.2001-10-29.lokay.ham.txt
True	ham	ham	-1537.90696659	-1172.18374467	../dat/enron/enron6/ham/4307.2001-08-23.lokay.ham.txt
True	ham	ham	-6147.26079995	-4664.24647464	../dat/enron/enron6/ham/2902.2001-02-01.lokay.ham.txt
True	ham	ham	-1145.81132294	-503.938812731	../dat/enron/enron6/ham/0053.2000-06-14.lokay.ham.txt
True	ham	ham	-1494.25474509	-854.26670351	../dat/enron/enron6/ham/4663.2001-10-04.lokay.ham.txt
True	ham	ham	-558.975934351	-270.923438518	../dat/enron/enron6/ham/3829.2001-06-22.lokay.ham.txt
True	ham	ham	-4339.90285541	-2768.0946186	../dat/enron/enron6/ham/2007.2000-11-22.lokay.ham.txt
True	ham	ham	-1979.94809244	-1345.85881987	../dat/enron/enron6/ham/3326.2001-03-26.lokay.ham.txt
True	ham	ham	-581.277432075	-408.461289703	../dat/enron/enron6/ham/4302.2001-08-23.lokay.ham.txt
True	ham	ham	-352.977744423	-170.536783535	../dat/enron/enron6/ham/3633.2001-05-30.lokay.ham.txt
True	ham	ham	-2161.28958113	-1704.68241592	../dat/enron/enron6/ham/5846.2002-03-08.lokay.ham.txt
True	ham	ham	-1856.70321699	-1746.77882909	../dat/enron/enron6/ham/3977.2001-07-17.lokay.ham.txt
True	ham	ham	-275.185745584	-203.874200054	../dat/enron/enron6/ham/4998.2001-11-15.lokay.ham.txt
True	ham	ham	-955.84798981	-804.289848892	../dat/enron/enron6/ham/2328.2000-12-28.lokay.ham.txt
True	ham	ham	-527.97500906	-351.467112949	../dat/enron/enron6/ham/3265.2001-03-16.lokay.ham.txt
True	ham	ham	-12409.8933241	-9405.03323409	../dat/enron/enron6/ham/2219.2000-12-11.lokay.ham.txt
True	ham	ham	-17058.0855727	-4789.92838643	../dat/enron/enron6/ham/1516.2000-10-25.lokay.ham.txt
True	ham	ham	-3363.16574503	-2372.39042489	../dat/enron/enron6/ham/4669.2001-10-05.lokay.ham.txt
True	ham	ham	-2133.19597834	-1574.5720402	../dat/enron/enron6/ham/0764.2000-08-16.lokay.ham.txt
True	ham	ham	-3657.58559016	-2960.83391532	../dat/enron/enron6/ham/5334.2002-01-16.lokay.ham.txt
True	ham	ham	-65.8006667439	-55.4010824243	../dat/enron/enron6/ham/0977.2000-09-06.lokay.ham.txt
True	ham	ham	-2008.15477473	-1483.83188608	../dat/enron/enron6/ham/2462.2001-01-10.lokay.ham.txt
True	ham	ham	-851.733248148	-769.809088503	../dat/enron/enron6/ham/1250.2000-10-02.lokay.ham.txt
True	ham	ham	-5182.73075564	-3679.41265611	../dat/enron/enron6/ham/3854.2001-06-26.lokay.ham.txt
True	ham	ham	-2894.22315876	-2158.35487584	../dat/enron/enron6/ham/0859.2000-08-24.lokay.ham.txt
True	ham	ham	-2592.82923062	-1821.04885896	../dat/enron/enron6/ham/4025.2001-07-23.lokay.ham.txt
True	ham	ham	-3861.62717185	-2502.72339648	../dat/enron/enron6/ham/4108.2001-08-02.lokay.ham.txt
True	ham	ham	-123.725590611	-75.2433481388	../dat/enron/enron6/ham/5615.2002-02-14.lokay.ham.txt
True	ham	ham	-1287.35072038	-1030.80238777	../dat/enron/enron6/ham/4454.2001-09-06.lokay.ham.txt
True	ham	ham	-395.400112921	-357.382284657	../dat/enron/enron6/ham/0180.2000-06-27.lokay.ham.txt
True	ham	ham	-1845.24684992	-1407.67869095	../dat/enron/enron6/ham/3293.2001-03-19.lokay.ham.txt
True	ham	ham	-4280.58026715	-3938.56048139	../dat/enron/enron6/ham/4133.2001-08-03.lokay.ham.txt
False	spam	ham	-1312.93686327	-1327.43132821	../dat/enron/enron6/ham/4601.2001-09-27.lokay.ham.txt
True	ham	ham	-637.892053881	-363.905707308	../dat/enron/enron6/ham/2891.2001-01-31.lokay.ham.txt
True	ham	ham	-790.403292849	-574.517641701	../dat/enron/enron6/ham/5513.2002-02-04.lokay.ham.txt
True	ham	ham	-1644.10176693	-1167.83113231	../dat/enron/enron6/ham/0734.2000-08-11.lokay.ham.txt
True	ham	ham	-439.602259787	-344.106673057	../dat/enron/enron6/ham/3987.2001-07-17.lokay.ham.txt
True	ham	ham	-14843.7242866	-14245.9716075	../dat/enron/enron6/ham/0415.2000-07-18.lokay.ham.txt
True	ham	ham	-86.5324204255	-77.8640964757	../dat/enron/enron6/ham/1011.2000-09-08.lokay.ham.txt
True	ham	ham	-1740.45837456	-887.107971934	../dat/enron/enron6/ham/2253.2000-12-14.lokay.ham.txt
True	ham	ham	-1529.57992221	-1232.28013023	../dat/enron/enron6/ham/1672.2000-11-02.lokay.ham.txt
True	ham	ham	-888.335896777	-726.247143761	../dat/enron/enron6/ham/0849.2000-08-24.lokay.ham.txt
True	ham	ham	-6867.48227673	-2188.98503169	../dat/enron/enron6/ham/0278.2000-07-07.lokay.ham.txt
True	ham	ham	-5430.66896017	-3456.98450955	../dat/enron/enron6/ham/4368.2001-08-28.lokay.ham.txt
True	ham	ham	-4117.01976642	-1873.64036898	../dat/enron/enron6/ham/1533.2000-10-25.lokay.ham.txt
True	ham	ham	-137.060772269	-126.280917436	../dat/enron/enron6/ham/1394.2000-10-12.lokay.ham.txt
True	ham	ham	-2296.4970425	-1627.93038836	../dat/enron/enron6/ham/3021.2001-02-09.lokay.ham.txt
True	ham	ham	-279.330208499	-223.71879656	../dat/enron/enron6/ham/2698.2001-01-24.lokay.ham.txt
True	ham	ham	-183.517410262	-92.5999698439	../dat/enron/enron6/ham/4260.2001-08-16.lokay.ham.txt
True	ham	ham	-846.380895508	-523.18305497	../dat/enron/enron6/ham/0884.2000-08-29.lokay.ham.txt
True	ham	ham	-1807.26577932	-920.005946755	../dat/enron/enron6/ham/3263.2001-03-16.lokay.ham.txt
True	ham	ham	-154.99778439	-94.0809889659	../dat/enron/enron6/ham/2162.2000-12-05.lokay.ham.txt
